 ===  DY MC === 
  x min    x max      eff   -err   +err  
-------- --------    ----- ------ ------ 
  10.000   20.000    0.296 -0.005 +0.005 
  20.000   30.000    0.330 -0.011 +0.011 
  30.000   40.000    0.284 -0.017 +0.017 
  40.000   50.000    0.240 -0.025 +0.025 
  50.000   60.000    0.284 -0.039 +0.039 
  60.000   70.000    0.313 -0.054 +0.054 
  70.000   80.000    0.365 -0.066 +0.066 
  80.000   90.000    0.267 -0.072 +0.072 
  90.000  100.000    0.339 -0.112 +0.112 


 ===  Data - VZ === 
  x min    x max      eff   -err   +err  
-------- --------    ----- ------ ------ 
  20.000   30.000    0.155 -0.142 +0.142 
  30.000   40.000    0.435 -0.240 +0.240 
  40.000   50.000    0.313 -0.243 +0.243 
  50.000   60.000    0.607 -0.133 +0.133 
  60.000   70.000    0.472 -0.247 +0.247 
  70.000   80.000    0.488 -0.176 +0.176 
  80.000   90.000    0.385 -0.257 +0.257 
  90.000  100.000    0.509 -0.125 +0.125 


 ===  (stat only) === 
  x min    x max      eff   -err   +err  
-------- --------    ----- ------ ------ 
  20.000   30.000    0.155 -0.111 +0.111 
  30.000   40.000    0.435 -0.178 +0.178 
  40.000   50.000    0.313 -0.183 +0.183 
  50.000   60.000    0.607 -0.113 +0.113 
  60.000   70.000    0.472 -0.210 +0.210 
  70.000   80.000    0.488 -0.156 +0.156 
  80.000   90.000    0.385 -0.233 +0.233 
  90.000  100.000    0.509 -0.120 +0.120 


